logger_for_algo_1_1 - DEBUG - Started cross validation for 1'st type algorithm
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: 2 in regular space is :0.0
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: 3 in log space is :-1151.785316083812
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: 3 in regular space is :0.0
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: 4 in log space is :-1238.5423821639902
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: 4 in regular space is :0.0
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: 5 in log space is :-1272.9097861245893
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: 5 in regular space is :0.0
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: 6 in log space is :-965.9651185905572
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: 6 in regular space is :0.0
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: 7 in log space is :-766.8854217544853
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: 7 in regular space is :0.0
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: 8 in log space is :-1024.223900758519
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: 8 in regular space is :0.0
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: 9 in log space is :-558.879243709744
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: 9 in regular space is :1.91349973579453e-243
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: 10 in log space is :-632.8829180058962
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: 10 in regular space is :1.3881647728494458e-275
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: 11 in log space is :-886.8354932746365
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: 11 in regular space is :0.0
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: 12 in log space is :-626.1651897698656
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: 12 in regular space is :1.1479244946399763e-272
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: 13 in log space is :-551.081857452887
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: 13 in regular space is :4.6579007587424557e-240
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: 14 in log space is :-573.871302866764
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: 14 in regular space is :5.900106382889756e-250
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: 15 in log space is :-392.2731656753178
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: 15 in regular space is :4.344389431131544e-171
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: 16 in log space is :-523.5900076896559
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: 16 in regular space is :4.052741286382102e-228
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: 17 in log space is :-236.85268008159133
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: 17 in regular space is :1.3683210766232536e-103
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: 18 in log space is :-401.92748787892737
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: 18 in regular space is :2.786826226299142e-175
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: 19 in log space is :-268.80601593415236
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: 19 in regular space is :1.8156434924033795e-117
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: 20 in log space is :-255.63581741033596
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: 20 in regular space is :9.523029328840074e-112
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: 21 in log space is :-192.13192215740486
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: 21 in regular space is :3.615483713879938e-84
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: 22 in log space is :-85.8533167924186
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: 22 in regular space is :5.180578561041533e-38
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: X in log space is :-1007.2339767430667
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: X in regular space is :0.0
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: Y in log space is :0
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: Y in regular space is :1.0
logger_for_algo_1_1 - DEBUG - person_cross_validation_result for person: 3 in log space is: -15872.151953302822
logger_for_algo_1_1 - DEBUG - person_cross_validation_result for person: 3 in regular space is: 0.0
logger_for_algo_1_1 - DEBUG - Execution time for person 3 is: 384.7655634880066 Seconds, 6.412759391466777 Minutes.
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: 1 in log space is :-1509.5671626040787
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: 1 in regular space is :0.0
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: 2 in log space is :-1170.8400962746553
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: 2 in regular space is :0.0
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: 3 in log space is :-1485.4128240357245
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: 3 in regular space is :0.0
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: 4 in log space is :-1358.9418641308257
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: 4 in regular space is :0.0
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: 5 in log space is :-1084.9857243290373
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: 5 in regular space is :0.0
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: 6 in log space is :-1086.6602311389468
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: 6 in regular space is :0.0
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: 7 in log space is :-1203.9667304016832
logger_for_algo_1_1 - DEBUG - likelihood_for_ignored_chromosome: 7 in regular space is :0.0
